company_name,phone,phone_normalized,email,website,city,created_at,search_id
Fresh House Co,+61 405 776 518,61405776518,HELLO@FRESHHOUSECO.COM.AU,http://www.freshhouseco.com.au/,Norwood,2026-05-25T03:05:42.801584,43c93b6f-19a5-48da-b485-c1103ed4069b
Julberry Design - Interior Designers in Adelaide,+61 493 384 791,61493384791,julia@julberry.design,https://julberry.design/,Wayville,2026-05-25T03:05:42.801584,43c93b6f-19a5-48da-b485-c1103ed4069b
Linlin Interiors,+61 406 187 953,61406187953,info@linlininteriors.com,http://www.linlininteriors.com/,,2026-05-25T03:05:42.801584,43c93b6f-19a5-48da-b485-c1103ed4069b
Design Release - Interior Design Studio Adelaide Hills,+61 402 433 398,61402433398,hello@designrelease.com.au,http://www.designrelease.com.au/,Woodside,2026-05-25T03:05:42.801584,43c93b6f-19a5-48da-b485-c1103ed4069b
House of Allure Interiors & Design,+61 427 010 043,61427010043,,https://houseofallure.com.au/,,2026-05-25T03:04:56.253432,43c93b6f-19a5-48da-b485-c1103ed4069b
Bhodz Project | Interior designer Gold Coast,+61 401 473 244,61401473244,info@bhodzproject.com,https://www.bhodzproject.com/,Coolangatta,2026-05-25T01:01:20.992659,c0ade4a0-90e8-4897-893b-542dc1fe9d61
Home Innovations Display Centre,+61 3 8738 9036,61387389036,info@homeinnovationscentre.com.au,http://www.homeinnovationscentre.com.au/,Frankston,2026-05-25T01:01:20.992659,c0ade4a0-90e8-4897-893b-542dc1fe9d61
Belle Casa Interiors,+61 7 5576 5559,61755765559,studio@bellecasa.com.au,https://www.bellecasa.com.au/,Nerang,2026-05-25T01:01:20.992659,c0ade4a0-90e8-4897-893b-542dc1fe9d61
Lynda MacDonald Interior Design,+61 414 366 688,61414366688,info@lyndamacdonald.com.au,http://www.lyndamacdonald.com.au/,,2026-05-25T01:01:20.992659,c0ade4a0-90e8-4897-893b-542dc1fe9d61
Urban Edge Style,+61 7 5526 6099,61755266099,info@urbanedgestyle.com.au,http://urbanedgestyle.com.au/,Mermaid Beach,2026-05-25T01:01:20.992659,c0ade4a0-90e8-4897-893b-542dc1fe9d61
Niche Design,+61 419 431 903,61419431903,alice@nichedesign.com.au,http://www.nichedesign.com.au/,Burleigh Heads,2026-05-25T01:01:20.992659,c0ade4a0-90e8-4897-893b-542dc1fe9d61
French Place,+61 1300 070 802,611300070802,sales@frenchplace.com.au,https://frenchplace.com.au/?utm_source=GMBpost&utm_medium=organic&utm_campaign=local,Willoughby,2026-05-25T01:01:20.992659,c0ade4a0-90e8-4897-893b-542dc1fe9d61
Erica Fanning Interiors,+61 411 963 180,61411963180,erica@ericafanninginteriors.com,https://www.ericafanninginteriors.com.au/,,2026-05-25T01:01:20.992659,c0ade4a0-90e8-4897-893b-542dc1fe9d61
Cosmostyle,+61 2 9817 5210,61298175210,info@cosmostyle.com.au,http://www.cosmostyle.com.au/,Hunters Hill,2026-05-25T01:01:20.992659,c0ade4a0-90e8-4897-893b-542dc1fe9d61
Tweaq Property Styling,+61 405 329 851,61405329851,info@tweaq.com.au,https://www.tweaqproperty.com.au/,Tuggerah,2026-05-25T01:01:20.992659,c0ade4a0-90e8-4897-893b-542dc1fe9d61
Decorating Decor Interiors - Luxaflex Showroom,+61 2 9712 2722,61297122722,info@ddinteriors.com.au,http://www.decoratingdecorinteriors.com.au/?utm_source=GMBListing&utm_medium=organic,Russell Lea,2026-05-25T01:01:20.992659,c0ade4a0-90e8-4897-893b-542dc1fe9d61
Bourkeshire Interiors - Luxaflex Store,+61 2 8399 2621,61283992621,k@bourkeshire.com.au,http://www.bourkeshire.com.au/,Paddington,2026-05-25T01:01:20.992659,c0ade4a0-90e8-4897-893b-542dc1fe9d61
Altis Architecture,+61 2 9364 9000,61293649000,reception@altisarchitecture.com,http://www.altisarchitecture.com/,Pyrmont,2026-05-25T01:01:20.992659,c0ade4a0-90e8-4897-893b-542dc1fe9d61
Arei Designs | Design Services for Builders,+61 1300 969 605,611300969605,plans@areidesigns.com.au,https://www.areidesigns.com.au/,,2026-05-25T01:01:20.992659,c0ade4a0-90e8-4897-893b-542dc1fe9d61
JSF Interiors Luxaflex Goulburn,+61 2 4821 9144,61248219144,style@jsfinteriors.com.au,https://www.jsfinteriors.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb,Goulburn,2026-05-25T01:01:20.992659,c0ade4a0-90e8-4897-893b-542dc1fe9d61
A Style Of Shade - Luxaflex Window Fashion Gallery,+61 2 9327 5500,61293275500,sales@astyleofshade.com.au,http://www.astyleofshade.com.au/,Double Bay,2026-05-25T01:01:20.992659,c0ade4a0-90e8-4897-893b-542dc1fe9d61
Metod kitchen Installation,+61 2 8552 7500,61285527500,admin@metodinstall.com.au,https://www.metodinstall.com.au/,,2026-05-25T01:01:20.992659,c0ade4a0-90e8-4897-893b-542dc1fe9d61
Restoore - Joinery & Furniture,+61 467 596 775,61467596775,info@restoore.com.au,https://www.restoore.com.au/,Dubbo,2026-05-25T01:01:20.992659,c0ade4a0-90e8-4897-893b-542dc1fe9d61
Haven & Space,+61 2 4464 1646,61244641646,online@havenandspace.com.au,http://www.havenandspace.com.au/,Berry,2026-05-25T01:01:20.992659,c0ade4a0-90e8-4897-893b-542dc1fe9d61
Coral Homes - HomeWorld Thornton Display,+61 436 654 074,61436654074,customercare@coralhomes.com.au,https://coralhomes.com.au/display-homes/homeworld-thornton-dv2/,Thornton,2026-05-25T01:01:20.992659,c0ade4a0-90e8-4897-893b-542dc1fe9d61
Radz Renovations,+61 499 950 666,61499950666,radzhandyman@gmail.com,https://www.radzrenovations.com.au/,Bankstown,2026-05-25T01:01:20.992659,c0ade4a0-90e8-4897-893b-542dc1fe9d61
Santosa Furniture Warehouse,+61 2 7256 8248,61272568248,info@santosafurniturewarehouse.com.au,https://www.santosafurniturewarehouse.com.au/?utm_source=local&utm_medium=organic&utm_campaign=gmb&utm_content=website,Parramatta,2026-05-25T01:01:20.992659,c0ade4a0-90e8-4897-893b-542dc1fe9d61
Jim's Bathrooms and Resurfacing,+61 131546,61131546,hello@jimsbathrooms.com.au,https://jimsbathrooms.com.au/services/sydney-bathroom-renovations/,,2026-05-25T01:01:20.992659,c0ade4a0-90e8-4897-893b-542dc1fe9d61
My Mind Design,+61 420 956 704,61420956704,matt@myminddesign.com.au,https://www.myminddesign.com.au/,,2026-05-25T01:01:20.992659,c0ade4a0-90e8-4897-893b-542dc1fe9d61
Pillow Talk Artarmon,+61 2 9460 6000,61294606000,careers@ptpl.com.au,https://www.pillowtalk.com.au/store/artarmon?utm_source=google&utm_medium=organic&utm_campaign=GMB,Artarmon,2026-05-25T01:01:20.992659,c0ade4a0-90e8-4897-893b-542dc1fe9d61
"Sydney style kitchens Pty Ltd | kitchen Designers, U1/340 HOXTON PARK ROAD PRESTONS NSW 2170",+61 2 8798 5868,61287985868,sydneystylekitchens@gmail.com,http://www.sydneystylekitchens.com.au/,Prestons,2026-05-25T01:01:20.992659,c0ade4a0-90e8-4897-893b-542dc1fe9d61
Gemini Homes: Mackay Builder - House and Land,+61 7 4951 2664,61749512664,sales@geminihomes.com.au,https://geminihomes.com.au/,Beaconsfield,2026-05-25T01:01:20.992659,c0ade4a0-90e8-4897-893b-542dc1fe9d61
Picturesque Painting Services,+61 466 270 060,61466270060,picturesquepaintingservices@gmail.com,https://picturesquepaintingservices.com.au/,Beenleigh,2026-05-25T01:01:20.992659,c0ade4a0-90e8-4897-893b-542dc1fe9d61
Coral Homes - HomeWorld Leppington,+61 428 349 933,61428349933,customercare@coralhomes.com.au,https://coralhomes.com.au/display-homes/homeworld-leppington/,Leppington,2026-05-25T01:01:20.992659,c0ade4a0-90e8-4897-893b-542dc1fe9d61
Servaco,+61 1800 032 032,611800032032,info@servaco.com.au,https://www.servaco.com.au/,Townsville City,2026-05-25T01:01:20.992659,c0ade4a0-90e8-4897-893b-542dc1fe9d61
Impala Kitchens and Bathrooms,+61 2 9819 6915,61298196915,sales@impalakitchens.com.au,http://www.impalakitchens.com.au/,Drummoyne,2026-05-25T01:01:20.992659,c0ade4a0-90e8-4897-893b-542dc1fe9d61
Design Tiles,+61 2 9567 8971,61295678971,sales@designtiles.com.au,https://designtiles.com.au/,Rockdale,2026-05-25T01:01:20.992659,c0ade4a0-90e8-4897-893b-542dc1fe9d61
Stone Arc,+61 2 4314 8605,61243148605,tony@stonearc.com.au,https://www.stonearc.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb,Kincumber,2026-05-25T01:01:20.992659,c0ade4a0-90e8-4897-893b-542dc1fe9d61
Hamptons Design Co,+61 438 969 256,61438969256,hello@hamptonsdesignco.com.au,http://www.hamptonsdesignco.com.au/,,2026-05-25T01:01:20.992659,c0ade4a0-90e8-4897-893b-542dc1fe9d61
Tahnee Symons Designs | Interior Designer | Gold Coast | Robina,+61 429 272 954,61429272954,tahnee@tsdesigns.com.au,http://tsdesigns.com.au/,Robina,2026-05-25T01:01:20.992659,c0ade4a0-90e8-4897-893b-542dc1fe9d61
