company_name,phone,email,website,city,icp_score,intent_score,email1_subject,email1_body
Bhodz Project | Interior designer Gold Coast,+61 401 473 244,info@bhodzproject.com,https://www.bhodzproject.com/,Coolangatta,5,5,Gold Coast designers & window specs 🪟,"Hey {first_name},

Noticed Bhodz Project is doing interior design work on the Gold Coast — Coolangatta has some seriously high-spec residential builds happening right now.

When your clients push for custom windows and doors that actually match the design brief, sourcing the right product fast is half the battle.

We're lens — a manufacturer with 20 years making doors and windows, with stock held locally in Australia.

Quick question: are you currently spec'ing windows/doors yourself, or leaving that to the builder?

— lens"
Home Innovations Display Centre,+61 3 8738 9036,info@homeinnovationscentre.com.au,http://www.homeinnovationscentre.com.au/,Frankston,5,5,display centres & the sourcing gap 🪟,"Hi {first_name},

Display centres live or die on having the right product on the floor — nothing kills a sale like telling a customer ""that window style is 12 weeks away.""

From what I can see about Home Innovations, you're positioned as a destination for home improvement in Frankston — that reputation depends on stock depth and range.

We're lens, a direct-factory windows and doors manufacturer with local AU warehouse stock.

What does your current lead time look like when a customer orders something that's not on display?

— lens"
Belle Casa Interiors,+61 7 5576 5559,studio@bellecasa.com.au,https://www.bellecasa.com.au/,Nerang,5,5,windows for high-end QLD homes 🪟,"Hi {first_name},

Designing luxury interiors in Queensland — the windows and doors you specify can make or break the whole aesthetic.

At lens, we manufacture premium doors and windows with 20 years of experience, supplying directly to projects across Australia.

For designers working on high-end residential builds, getting the right product at the right time (without the usual import headaches) matters a lot.

Is sourcing quality windows and doors for your clients currently something you handle in-house, or do you rely on local suppliers?

— lens"
Lynda MacDonald Interior Design,+61 414 366 688,info@lyndamacdonald.com.au,http://www.lyndamacdonald.com.au/,,5,5,windows that actually arrive on time 🪟,"Hi {first_name},

Designers I work with in Australia often spec beautiful European or Asian windows — then watch the project stall because the product shows up three months late.

At lens, we manufacture doors and windows directly and hold local AU stock, so your clients aren't waiting on a slow freight cycle.

With 20 years in the factory, we work with designers who want quality without the sourcing headache.

What does your current window and door sourcing process usually look like on a residential project?

— lens"
Urban Edge Style,+61 7 5526 6099,info@urbanedgestyle.com.au,http://urbanedgestyle.com.au/,Mermaid Beach,5,5,Mermaid Beach projects + windows,"Hi {first_name},

Designing high-end homes along the Gold Coast coastline means every detail — especially windows and doors — has to hold up aesthetically and structurally against the elements.

With Urban Edge Style working in one of Queensland's most premium beachside pockets, I'm curious whether sourcing custom windows and doors ever becomes a bottleneck on your projects.

We're lens, a manufacturer with 20 years of experience supplying the Australian market directly from our factory.

Do your clients ever push for specific profiles or finishes that local suppliers struggle to deliver?

— lens"
Niche Design,+61 419 431 903,alice@nichedesign.com.au,http://www.nichedesign.com.au/,Burleigh Heads,5,5,Gold Coast designers & imported windows 🪟,"Hi {first_name},

Burleigh Heads has some of the most design-forward residential projects in Queensland right now — the kind where standard local joinery just doesn't cut it.

We're lens, a manufacturer with 20 years making windows and doors, and we work with interior designers who specify product for high-end builds.

I'm curious — when your clients ask for something bespoke or imported, where does that sourcing conversation usually end up?

— lens"
Erica Fanning Interiors,+61 411 963 180,erica@ericafanninginteriors.com,https://www.ericafanninginteriors.com.au/,,5,5,windows that actually match the brief,"Hi {first_name},

Designers like you spend serious time specifying the right window and door profiles for a project — then the supplied product turns up and it's close, but not quite right.

At lens, we manufacture directly and can produce custom sizing, finishes, and glazing configurations that match a design brief precisely — not just whatever the local distributor has in stock.

We work with interior designers and residential projects across Australia.

What's the trickiest window or door spec you've had to compromise on recently?

— lens"
Radz Renovations,+61 499 950 666,radzhandyman@gmail.com,https://www.radzrenovations.com.au/,Bankstown,5,5,windows holding up your Bankstown builds?,"Hey {first_name},

Builders in Western Sydney tell us the same thing — window and door lead times are the one thing that quietly kills a handover date.

For renovation and new-build projects running back-to-back, a 10-week supplier delay doesn't just push one job — it cascades across everything queued behind it.

We stock windows and doors in an Australian local warehouse, so lead times are weeks, not months.

Is supply timing something that's bitten Radz Renovations recently?

— lens"
Gemini Homes: Mackay Builder - House and Land,+61 7 4951 2664,sales@geminihomes.com.au,https://geminihomes.com.au/,Beaconsfield,6,6,Mackay house & land builds — quick thought,"Hi {first_name},

Building house-and-land packages in Mackay means you're likely running multiple sites on tight schedules simultaneously.

When windows and doors are the bottleneck — even by two weeks — it can push practical completion past contract dates and trigger penalties.

We supply windows and doors direct from our factory to Australian builders, with stock held locally to keep your builds moving.

How many homes does Gemini typically have under construction at one time?

— lens"
Design Tiles,+61 2 9567 8971,sales@designtiles.com.au,https://designtiles.com.au/,Rockdale,5,5,your customers ask about windows too?,"Hi {first_name},

Design Tiles has built a strong reputation in Rockdale — 4.8 stars across 205 reviews is genuinely impressive for a building materials store.

We've noticed that tile showrooms often share the same customer base as window and door suppliers — builders, renovators, developers coming in to spec out a full project.

We're lens, a manufacturer of aluminium windows and doors with 20 years experience and local Sydney stock.

Does Design Tiles ever get enquiries from customers looking for window or door recommendations?

— lens"
